Name,FighterId,WeightClass,BirthDate,Height,Weight,Reach,Wins,Losses,Draws,NoContests,TechnicalKnockouts,TechnicalKnockoutLosses,Submissions,SubmissionLosses,TitleWins,TitleLosses,TitleDraws,SigStrikesLandedPerMinute,SigStrikeAccuracy,TakedownAverage,SubmissionAverage,StrikeFinishPercentage,TechnicalKnockoutPercentage,DecisionPercentage,WorkAverage
Timur Valiev,140000960,Featherweight,1990-01-19T00:00:00,66.0,135.0,67.0,18,2,0,1,2,0,1,0,0,0,0,2.3,39.4,0.7,0.0,0.0,0.0,4.1,0.0
Danny Chavez,140000990,Featherweight,1987-03-14T00:00:00,68.0,145.0,67.0,11,4,1,0,2,0,0,1,0,0,0,2.4,37.9,1.6,0.0,0.0,0.0,5.1,0.0
TJ Laramie,140000969,Featherweight,1997-10-15T00:00:00,66.0,145.0,66.0,12,4,0,0,6,2,2,1,0,0,0,2.3,60.0,2.2,0.0,0.0,0.0,0.0,0.0
Aliaskhab Khizriev,140001021,Middleweight,1990-08-24T00:00:00,69.0,185.0,74.0,13,0,0,0,7,0,6,0,1,0,0,8.7,100.6,21.7,21.7,0.0,0.0,0.0,4096.7429999999995
Curtis Blaydes,140000218,Heavyweight,1991-02-18T00:00:00,76.0,261.0,80.0,15,3,0,1,12,4,0,0,0,0,0,4.6,71.9,8.4,0.0,24.3,24.3,30.4,0.0
Karolina Kowalkiewicz,140000241,Women's Strawweight,1985-10-15T00:00:00,63.0,115.0,64.0,12,7,0,0,2,2,3,3,2,2,0,8.0,56.1,0.3,0.2,0.0,0.0,32.7,0.48
Askar Askarov,140000614,Flyweight,1992-10-09T00:00:00,66.0,125.0,67.0,13,0,1,0,0,0,0,0,0,0,0,0.2,15.5,0.2,0.0,0.0,0.0,1.4,0.0
Roman Kopylov,140000645,Middleweight,1991-05-04T00:00:00,72.0,186.0,75.0,8,2,0,0,14,0,0,2,2,0,0,5.2,61.7,1.0,0.0,0.0,0.0,0.0,0.0
Frankie Edgar,140000504,Bantamweight,1981-10-16T00:00:00,66.0,136.0,68.0,23,10,1,0,10,11,11,0,9,14,3,10.9,80.8,6.6,0.9,19.9,19.9,54.8,64.746
Daniel Pineda,140000931,Featherweight,1985-08-06T00:00:00,67.0,145.0,69.0,27,14,0,3,10,4,20,8,0,0,0,4.3,71.1,1.8,2.1,2.9,2.9,0.0,16.254
Guido Cannetti,140000659,Bantamweight,1979-12-19T00:00:00,66.0,135.0,68.0,8,7,0,0,1,1,1,1,0,0,0,0.9,31.1,0.6,0.1,0.0,0.0,3.7,0.054000000000000006
Muslim Salikhov,140000594,Welterweight,1984-06-09T00:00:00,71.0,170.0,70.0,18,2,0,0,15,0,3,3,0,0,0,4.9,61.3,1.7,0.0,12.5,12.5,18.7,0.0
Kenneth Cross,140000948,Lightweight,1994-10-04T00:00:00,72.0,155.0,72.0,12,3,0,0,12,0,12,9,0,0,0,6.4,98.7,2.9,0.0,0.0,0.0,0.0,0.0
Gilbert Burns,140000294,Welterweight,1986-07-20T00:00:00,70.0,170.0,71.0,20,4,0,0,3,1,4,0,0,1,0,1.6,40.6,1.1,0.3,6.6,6.6,18.2,0.528
Jonathan Pearce,140000449,Lightweight,1992-05-01T00:00:00,72.0,145.0,71.0,11,4,0,0,11,2,4,4,0,0,0,13.9,89.9,10.3,2.0,19.1,19.1,0.0,286.34000000000003
Cory McKenna,140000970,Women's Strawweight,1999-11-07T00:00:00,63.0,115.0,58.0,6,1,0,0,4,0,2,0,0,0,0,6.6,84.2,0.9,0.0,0.0,0.0,39.3,0.0
Tyron Woodley,140000144,Welterweight,1982-04-07T00:00:00,69.0,171.0,74.0,19,7,1,0,5,1,3,1,3,1,1,1.6,50.3,0.7,0.3,18.2,18.2,21.2,0.33599999999999997
Cole Smith,140000311,Bantamweight,1989-04-05T00:00:00,71.0,135.0,67.0,7,2,0,0,1,0,2,0,0,0,0,1.0,26.8,1.0,1.0,0.0,0.0,6.3,1.0
Mateusz Gamrot,140001053,Lightweight,1990-12-11T00:00:00,70.0,155.0,70.5,19,1,0,1,15,0,12,0,12,0,2,10.0,79.7,13.0,1.6,11.6,11.6,0.0,208.0
Alex Morono,140000150,Welterweight,1990-08-16T00:00:00,71.0,170.0,72.0,20,7,0,1,2,1,2,0,0,0,0,1.5,25.5,0.1,0.1,2.1,2.1,11.7,0.015000000000000003
Max Rohskopf,140000917,Lightweight,1994-09-27T00:00:00,73.0,155.0,71.0,7,1,0,0,0,0,1,0,0,0,0,0.2,12.1,0.4,0.2,0.0,0.0,0.0,0.016000000000000004
Roque Martinez,140001039,Heavyweight,1986-03-04T00:00:00,70.0,249.0,72.0,15,8,2,0,5,1,2,1,0,0,0,2.1,59.2,0.2,0.2,0.0,0.0,0.0,0.08400000000000002
Kay Hansen,140000930,Women's Strawweight,1999-08-14T00:00:00,62.0,115.0,63.0,7,4,0,0,3,2,6,0,0,0,0,5.5,73.7,3.4,2.5,0.0,0.0,0.0,46.75
Danny Roberts,140000188,Welterweight,1987-07-14T00:00:00,73.0,170.0,74.0,18,5,0,0,2,1,2,1,0,0,0,1.0,25.4,0.1,0.1,3.9,3.9,3.9,0.010000000000000002
Angela Hill,140000203,Women's Strawweight,1985-01-12T00:00:00,63.0,115.0,64.0,13,10,0,0,6,0,0,2,2,0,0,6.5,56.3,0.6,0.1,5.0,5.0,27.9,0.39
Callan Potter,140000055,Welterweight,1984-06-09T00:00:00,72.0,170.0,72.0,18,9,0,0,7,6,11,4,0,0,0,3.5,53.2,3.7,0.0,0.0,0.0,4.1,0.0
Darko StoÅ¡iÄ‡,140000372,Heavyweight,1992-02-09T00:00:00,72.0,230.0,76.0,16,4,0,0,4,0,0,0,0,0,0,1.2,30.4,1.5,0.0,2.6,2.6,0.0,0.0
Jerome Rivera,140000949,Flyweight,1995-04-22T00:00:00,70.0,125.0,72.0,10,6,0,0,1,2,4,1,0,1,0,2.4,39.4,0.0,0.0,0.0,0.0,4.6,0.0
Sean Brady,140000882,Welterweight,1992-11-23T00:00:00,70.0,170.0,72.0,14,0,0,0,2,0,3,0,1,0,0,3.8,58.7,2.1,1.0,0.0,0.0,12.8,7.9799999999999995
Devin Clark,140000371,Light Heavyweight,1990-04-12T00:00:00,72.0,206.0,75.0,12,6,0,0,1,1,0,1,0,0,0,1.0,40.0,0.8,0.0,0.0,0.0,18.5,0.0
Orion Cosce,140000986,Welterweight,1994-07-15T00:00:00,71.0,170.0,71.0,7,1,0,0,17,3,3,0,0,0,0,10.3,112.2,5.2,0.0,20.8,20.8,0.0,0.0
Neil Magny,140000752,Welterweight,1987-08-03T00:00:00,75.0,170.0,80.0,25,9,0,0,1,0,0,1,0,0,0,0.5,20.8,0.3,0.0,1.9,1.9,12.6,0.0
Kyron Bowen,140000994,Middleweight,1993-12-22T00:00:00,74.0,170.0,78.0,9,7,0,0,8,3,6,6,0,0,0,4.2,71.2,0.0,0.0,0.0,0.0,0.0,0.0
Hakeem Dawodu,140000500,Featherweight,1991-07-02T00:00:00,68.0,145.0,73.5,12,2,1,0,11,0,0,2,0,0,0,11.8,77.5,0.0,0.0,10.5,10.5,42.1,0.0
Dominick Reyes,140000193,Light Heavyweight,1989-12-26T00:00:00,76.0,205.0,77.0,12,3,0,0,6,2,2,0,0,2,0,4.0,47.4,0.3,0.3,18.4,18.4,12.2,0.36
Rodolfo Vieira,140000537,Middleweight,1989-09-25T00:00:00,72.0,185.0,73.0,8,1,0,0,0,0,1,0,0,0,0,0.5,25.2,1.2,0.3,0.0,0.0,0.0,0.18
Alexander Gustafsson,140000388,Light Heavyweight,1987-01-15T00:00:00,77.0,240.0,79.0,18,7,0,0,6,1,2,2,0,2,0,2.2,30.0,0.8,0.2,14.8,14.8,6.6,0.3520000000000001
Zelim Imadaev,140000256,Welterweight,1995-01-25T00:00:00,72.0,170.0,76.0,8,3,0,0,6,1,0,1,0,0,0,2.0,30.8,0.3,0.0,0.0,0.0,0.0,0.0
Luana Pinheiro,140001073,Women's Strawweight,1992-11-18T00:00:00,62.0,115.0,62.0,9,1,0,0,4,0,11,0,0,0,0,12.3,78.1,15.8,0.0,14.9,14.9,0.0,0.0
Hannah Cifers,140000125,Women's Strawweight,1992-06-26T00:00:00,61.0,117.0,62.0,10,7,0,0,14,6,0,11,0,0,0,14.0,87.8,0.7,0.7,0.0,0.0,19.7,6.8599999999999985
Loma Lookboonmee,140000884,Women's Strawweight,1996-01-18T00:00:00,61.0,115.0,61.5,6,2,0,0,0,0,0,0,0,0,0,1.8,35.5,0.5,0.0,0.0,0.0,21.8,0.0
Anthony Romero,140000996,Lightweight,1997-02-25T00:00:00,71.0,155.0,70.0,9,0,0,0,2,0,1,0,0,0,0,5.3,50.0,1.8,0.0,0.0,0.0,0.0,0.0
Vicente Luque,140000089,Welterweight,1991-11-27T00:00:00,71.0,170.0,75.5,21,7,1,0,6,0,4,1,0,0,0,2.9,40.8,0.3,0.5,17.3,17.3,1.8,0.435
Tanner Boser,140000638,Heavyweight,1991-08-02T00:00:00,74.0,240.0,75.5,20,8,1,0,6,1,1,0,0,0,0,2.1,38.3,0.0,0.0,5.2,5.2,1.7,0.0
Scott Holtzman,140000080,Lightweight,1983-09-30T00:00:00,69.0,155.0,69.0,14,5,0,0,1,0,0,0,0,0,0,0.9,26.6,0.4,0.0,1.1,1.1,4.3,0.0
Douglas Silva de Andrade,140000679,Featherweight,1985-06-22T00:00:00,67.0,135.0,68.5,27,4,0,1,4,0,0,0,0,0,0,0.8,18.9,0.1,0.0,1.3,1.3,2.0,0.0
Harry Hunsucker,140001077,Heavyweight,1989-01-03T00:00:00,74.0,249.0,75.0,7,4,0,0,0,0,0,0,0,0,0,0.3,14.7,0.0,0.0,0.0,0.0,0.0,0.0
Jan Blachowicz,140000123,Light Heavyweight,1983-02-24T00:00:00,74.0,205.0,78.0,28,9,0,0,10,3,12,3,8,3,0,6.0,75.1,1.9,0.4,14.0,14.0,17.5,4.56
Sherrard Blackledge,140001026,Lightweight,1993-08-16T00:00:00,71.0,155.0,75.0,5,1,0,0,0,0,0,0,0,0,0,1.2,25.0,1.5,0.0,0.0,0.0,0.0,0.0
Montana De La Rosa,140000067,Women's Flyweight,1995-02-14T00:00:00,67.0,126.0,68.0,12,6,1,0,0,0,4,0,0,0,0,1.4,36.6,1.1,0.6,2.6,2.6,2.6,0.9239999999999999
Amir Albazi,140000946,Bantamweight,1993-10-27T00:00:00,65.0,125.0,68.0,14,1,0,0,6,0,10,0,0,0,0,6.5,62.6,3.6,1.2,0.0,0.0,10.6,28.080000000000002
Da-Un Jung,140000585,Light Heavyweight,1993-12-07T00:00:00,76.0,205.0,78.5,15,2,1,0,4,0,1,0,0,0,0,1.3,28.7,0.9,0.1,3.7,3.7,1.9,0.11700000000000002
Jamahal Hill,140000491,Light Heavyweight,1991-05-19T00:00:00,76.0,205.0,79.0,8,1,0,1,1,0,0,0,0,0,0,1.9,26.5,0.0,0.0,10.1,10.1,2.6,0.0
Austin Hubbard,140000362,Lightweight,1991-12-22T00:00:00,70.0,156.0,71.0,13,6,0,0,8,0,6,4,2,0,0,7.0,74.5,2.6,0.0,0.0,0.0,14.6,0.0
Jimmy Flick,140001014,Flyweight,1990-09-07T00:00:00,67.0,125.0,68.0,16,5,0,0,0,10,22,0,2,2,0,5.0,93.1,4.5,11.4,0.0,0.0,0.0,256.5
Diana Belbita,140000635,Women's Bantamweight,1996-06-26T00:00:00,67.0,115.0,68.0,14,6,0,0,3,0,2,2,0,1,0,3.7,35.4,0.5,0.0,0.0,0.0,2.7,0.0
Jessica-Rose Clark,140000654,Women's Flyweight,1987-11-28T00:00:00,65.0,135.0,64.0,11,6,0,1,0,0,0,0,0,0,0,0.6,22.2,0.3,0.1,0.8,0.8,2.5,0.018
Hilarie Rose,140000988,Women's Strawweight,1992-11-11T00:00:00,63.0,115.0,63.0,5,3,0,0,1,1,1,0,0,0,0,0.9,20.5,0.0,0.0,0.0,0.0,0.0,0.0
Philipe Lins,140000904,Light Heavyweight,1985-08-17T00:00:00,74.0,205.0,78.0,14,5,0,0,14,11,11,0,3,0,0,7.6,68.6,0.0,0.0,0.0,0.0,0.0,0.0
Alexander Volkanovski,140000347,Featherweight,1988-09-29T00:00:00,66.0,144.0,71.0,23,1,0,0,11,1,3,0,3,0,0,7.0,60.9,1.9,0.3,13.0,13.0,30.4,3.9899999999999993
Marcin Tybura,140000272,Heavyweight,1985-11-09T00:00:00,75.0,249.0,78.0,22,7,0,0,7,3,5,0,2,1,0,2.8,52.4,1.2,0.1,12.0,12.0,15.0,0.336
Victor Rodriguez,140001069,Bantamweight,1992-09-05T00:00:00,65.0,126.0,67.0,7,4,0,0,10,6,0,2,0,0,0,3.4,68.8,0.0,0.0,0.0,0.0,0.0,0.0
Khalid Taha,140000255,Featherweight,1992-02-15T00:00:00,65.0,135.0,69.0,13,4,0,1,11,0,3,2,0,0,0,4.2,56.2,0.0,0.4,8.6,8.6,0.0,0.0
Alejandro Perez,140000133,Bantamweight,1989-09-02T00:00:00,66.0,135.0,67.0,23,8,1,0,3,1,2,1,0,0,0,1.2,25.0,0.2,0.1,3.2,3.2,4.2,0.024
Mike Breeden,140000995,Lightweight,1989-04-21T00:00:00,70.0,158.0,70.0,10,4,0,0,11,4,0,0,0,0,0,7.5,47.7,0.0,0.0,0.0,0.0,0.0,0.0
Liana Jojua,140000597,Women's Bantamweight,1995-03-22T00:00:00,64.0,128.0,62.0,8,5,0,0,3,5,16,3,3,0,0,6.3,63.1,4.4,3.3,0.0,0.0,0.0,91.476
Jose Aldo,140000049,Bantamweight,1986-09-09T00:00:00,67.0,136.0,70.0,30,7,0,0,2,0,0,0,1,0,0,0.4,15.5,0.1,0.0,2.9,2.9,2.4,0.0
Sean Woodson,140000495,Featherweight,1992-06-07T00:00:00,74.0,145.0,78.0,9,1,0,0,5,0,2,2,0,0,0,9.2,66.8,0.0,0.9,25.3,25.3,25.3,0.0
Raphael Assuncao,140000051,Bantamweight,1982-07-19T00:00:00,65.0,135.0,66.0,27,8,0,0,2,1,5,1,0,0,0,1.7,33.7,0.8,0.1,2.9,2.9,22.5,0.136
Danyelle Wolf,140001031,Women's Featherweight,1983-09-08T00:00:00,71.0,145.0,70.0,1,0,0,0,0,0,0,0,0,0,0,0.6,14.4,0.0,0.2,0.0,0.0,42.3,0.0
Luigi Vendramini,140000864,Welterweight,1996-01-16T00:00:00,68.0,155.0,73.0,9,3,0,0,6,2,4,0,0,0,0,3.1,48.9,1.2,0.6,9.2,9.2,0.0,2.2319999999999998
Chris Daukaus,140000992,Heavyweight,1989-09-25T00:00:00,75.0,231.0,76.0,12,3,0,0,13,3,0,1,0,0,0,10.9,65.9,0.0,0.0,32.1,32.1,0.0,0.0
Gustavo Lopez,140000916,Bantamweight,1989-06-27T00:00:00,65.0,135.0,67.0,12,6,1,0,2,1,3,0,0,0,0,1.1,32.0,0.8,0.3,0.0,0.0,0.0,0.264
Marion Reneau,140000158,Women's Bantamweight,1977-06-20T00:00:00,66.0,136.0,68.0,9,8,1,0,14,3,8,0,0,0,0,8.9,85.2,1.7,2.2,18.5,18.5,15.5,33.286
Alessio Di Chirico,140000417,Middleweight,1989-12-12T00:00:00,72.0,185.0,74.0,13,6,0,0,1,0,1,0,0,0,0,0.8,21.9,0.4,0.0,2.4,2.4,2.4,0.0
James Krause,140000651,Welterweight,1986-06-04T00:00:00,74.0,170.0,73.5,28,9,0,0,10,1,15,4,0,0,0,5.8,54.6,1.2,1.1,9.8,9.8,11.9,7.656000000000001
Raulian Paiva,140000060,Flyweight,1995-10-17T00:00:00,68.0,135.0,69.0,21,3,0,0,9,2,7,2,0,0,0,9.3,68.8,1.4,0.5,9.1,9.1,18.5,6.51
Chris Weidman,140000639,Middleweight,1984-06-17T00:00:00,74.0,186.0,78.0,15,6,0,0,2,2,1,0,2,0,0,1.1,31.1,1.4,0.3,11.3,11.3,11.3,0.46199999999999997
Montel Jackson,140000253,Bantamweight,1992-04-24T00:00:00,70.0,136.0,75.5,11,2,0,0,1,0,0,0,0,0,0,0.6,27.6,0.7,0.1,2.7,2.7,4.1,0.042
Mayra Bueno Silva,140000842,Women's Flyweight,1991-08-22T00:00:00,66.0,125.0,66.5,7,2,1,0,0,0,1,0,0,0,0,0.9,30.9,0.0,0.3,0.0,0.0,0.0,0.0
Phil Hawes,140001025,Middleweight,1989-01-08T00:00:00,72.0,185.0,77.5,11,3,0,0,2,1,1,0,0,0,0,1.3,38.6,0.8,0.1,4.5,4.5,4.5,0.10400000000000001
Renato Moicano,140000050,Featherweight,1989-05-21T00:00:00,71.0,155.0,72.0,15,4,1,0,0,2,6,1,0,0,0,3.5,41.5,1.4,0.4,0.0,0.0,12.5,1.96
Kevin Syler,140000475,Lightweight,1993-07-29T00:00:00,69.0,155.0,71.5,10,1,0,0,1,0,4,0,0,0,0,3.5,55.2,0.6,1.3,0.0,0.0,0.0,2.7300000000000004
Miranda Maverick,140000928,Women's Flyweight,1997-07-01T00:00:00,63.0,125.0,65.5,11,3,0,0,0,0,0,0,0,0,0,0.4,14.2,0.1,0.0,0.0,0.0,0.5,0.0
Vince Cachero,140000978,Featherweight,1989-11-07T00:00:00,66.0,135.0,68.0,7,4,0,0,2,2,2,0,0,1,0,2.8,51.9,0.0,0.5,0.0,0.0,0.0,0.0
Charles Jourdain,140000358,Featherweight,1995-11-27T00:00:00,69.0,145.0,69.0,11,4,1,0,1,0,0,0,0,0,0,0.7,18.0,0.0,0.1,1.6,1.6,0.0,0.0
Billy Quarantillo,140000488,Featherweight,1988-12-08T00:00:00,70.0,145.0,70.0,16,4,0,0,1,0,1,0,0,0,0,1.6,29.8,0.3,0.3,3.1,3.1,1.0,0.144
Maurice Greene,140000154,Heavyweight,1986-07-05T00:00:00,79.0,237.0,80.0,9,7,0,0,5,5,13,5,0,3,0,8.4,83.9,0.0,1.1,10.0,10.0,10.0,0.0
Shanna Young,140000546,Women's Bantamweight,1991-02-20T00:00:00,67.0,135.0,65.0,8,5,0,0,2,2,5,3,0,0,0,4.8,73.5,0.0,1.6,0.0,0.0,0.0,0.0
Robbie Lawler,140000142,Welterweight,1982-03-20T00:00:00,71.0,184.0,74.0,29,15,0,0,23,2,1,7,5,5,0,4.6,57.2,0.8,0.0,32.2,32.2,17.4,0.0
Saparbeg Safarov,140000180,Light Heavyweight,1986-10-14T00:00:00,73.0,185.0,78.0,9,3,0,0,5,1,2,2,0,0,0,3.5,44.7,2.2,0.0,0.0,0.0,7.2,0.0
Cub Swanson,140000327,Featherweight,1983-11-02T00:00:00,68.0,145.0,70.0,27,12,0,0,13,2,5,9,0,0,0,5.7,60.3,1.3,0.6,14.2,14.2,28.4,4.446
Cheyanne Buys,140000987,Women's Strawweight,1995-06-25T00:00:00,63.0,116.0,63.0,6,2,0,0,2,0,0,0,0,0,0,3.5,50.6,0.4,0.0,11.2,11.2,11.2,0.0
Tai Tuivasa,140000400,Heavyweight,1993-03-16T00:00:00,74.0,263.0,75.0,13,3,0,0,16,2,0,2,0,0,0,7.6,68.5,0.0,0.0,40.7,40.7,10.6,0.0
Nate Landwehr,140000889,Featherweight,1988-06-06T00:00:00,69.0,145.0,72.0,15,4,0,0,2,1,0,0,1,0,0,2.0,30.9,0.1,0.3,0.0,0.0,1.6,0.06
Juan Adams,140000313,Heavyweight,1992-01-16T00:00:00,77.0,266.0,80.0,5,3,0,0,14,6,0,0,0,0,0,12.0,94.3,2.6,0.0,21.2,21.2,0.0,0.0
Cory Sandhagen,140000007,Bantamweight,1992-04-20T00:00:00,71.0,135.0,70.0,14,4,0,0,2,0,1,0,0,0,0,1.6,24.3,0.2,0.1,11.1,11.1,2.8,0.03200000000000001
Maryna Moroz,140000224,Women's Flyweight,1991-09-08T00:00:00,67.0,125.0,67.0,10,3,0,0,0,0,1,0,0,0,0,0.5,12.5,0.1,0.1,0.0,0.0,10.7,0.005000000000000001
Jose Johnson,140001013,Bantamweight,1995-05-25T00:00:00,72.0,135.0,72.0,12,7,0,0,12,3,6,9,0,3,0,2.9,79.4,0.0,0.0,0.0,0.0,0.0,0.0
Sodiq Yusuff,140000237,Featherweight,1993-05-19T00:00:00,69.0,145.0,71.0,11,2,0,0,1,0,0,0,0,0,0,0.5,15.5,0.0,0.0,1.4,1.4,2.0,0.0
Kevin Natividad,140001037,Featherweight,1993-04-02T00:00:00,66.0,135.0,70.0,9,3,0,0,14,8,3,0,0,0,0,7.1,45.0,0.0,0.0,0.0,0.0,0.0,0.0
Nikita Krylov,140000261,Light Heavyweight,1992-03-07T00:00:00,75.0,205.0,77.5,27,8,0,0,12,1,18,7,1,0,0,6.0,79.9,1.9,1.9,10.1,10.1,3.9,21.659999999999997
Miranda Granger,140000515,Women's Flyweight,1992-04-13T00:00:00,67.0,115.0,68.0,7,2,0,0,1,0,6,1,0,0,0,3.5,66.4,0.0,0.0,0.0,0.0,12.1,0.0
Jacob Silva,140000997,Flyweight,1988-02-23T00:00:00,65.0,125.0,67.0,6,5,0,0,13,3,3,5,0,0,0,14.4,72.4,5.2,0.0,0.0,0.0,0.0,0.0
Stephen Thompson,140000221,Welterweight,1983-02-11T00:00:00,72.0,170.0,75.0,16,5,1,0,12,2,2,0,0,2,2,7.0,61.8,0.5,0.0,29.8,29.8,35.7,0.0
Mariya Agapova,140000510,Women's Flyweight,1997-04-07T00:00:00,66.0,125.0,68.5,10,2,0,0,2,1,3,0,0,0,0,3.3,47.1,0.5,0.5,0.0,0.0,0.0,0.825
Nicco Montano,140000463,Women's Flyweight,1988-12-16T00:00:00,65.0,143.0,65.0,5,3,0,0,1,0,0,0,0,0,0,2.7,33.0,1.1,0.2,0.0,0.0,5.9,0.5940000000000002
Andre Muniz,140000524,Middleweight,1990-02-17T00:00:00,73.0,186.0,78.0,21,4,0,0,11,11,23,0,0,0,0,5.7,122.2,8.2,6.2,0.0,0.0,13.0,289.78799999999995
Anderson Dos Santos,140000418,Featherweight,1985-07-24T00:00:00,65.0,135.0,70.0,21,9,0,0,5,4,12,2,1,0,0,2.5,30.4,0.9,0.6,0.0,0.0,0.0,1.3499999999999999
Norma Dumont,140000891,Women's Featherweight,1990-10-01T00:00:00,67.0,145.0,67.0,7,1,0,0,0,1,2,0,0,0,0,3.9,52.2,1.4,0.0,0.0,0.0,33.2,0.0
Ignacio Bahamondes,140001067,Welterweight,1997-08-27T00:00:00,75.0,154.0,75.5,12,4,0,0,9,0,0,2,0,0,0,7.5,45.4,0.0,0.0,12.4,12.4,0.0,0.0
Ty Flores,140000954,Light Heavyweight,1993-12-22T00:00:00,75.0,205.0,73.0,8,3,0,0,1,1,2,0,0,0,0,1.4,31.6,0.7,0.0,0.0,0.0,0.0,0.0
Brett Johns,140000735,Bantamweight,1992-02-21T00:00:00,67.0,135.0,71.0,17,3,0,0,1,0,4,0,1,0,0,2.0,53.7,3.4,0.7,0.0,0.0,13.2,4.76
Fabricio Werdum,140000720,Heavyweight,1977-07-30T00:00:00,76.0,241.0,77.0,24,9,1,1,1,0,1,0,0,0,0,0.4,20.5,0.2,0.1,2.0,2.0,2.0,0.008000000000000002
Tony Kelley,140001001,Featherweight,1987-01-21T00:00:00,69.0,136.0,70.0,7,2,0,0,3,0,5,0,0,2,0,7.4,77.0,0.0,3.2,0.0,0.0,14.2,0.0
Anthony Smith,140000147,Light Heavyweight,1988-07-26T00:00:00,76.0,205.0,76.0,36,16,0,0,10,3,4,1,1,0,0,0.9,27.6,0.1,0.2,3.4,3.4,0.6,0.018000000000000002
Vince Morales,140000319,Bantamweight,1990-11-12T00:00:00,67.0,136.0,70.0,10,5,0,0,6,1,3,3,0,0,0,5.7,46.0,0.3,0.0,0.0,0.0,15.1,0.0
Sasha Palatnikov,140001086,Welterweight,1989-03-15T00:00:00,73.0,170.0,72.5,6,4,0,0,2,1,0,1,0,0,0,4.7,49.9,0.5,0.0,7.0,7.0,0.0,0.0
Stefan Struve,140000121,Heavyweight,1988-02-18T00:00:00,83.0,265.0,84.5,33,13,0,0,13,14,29,3,0,0,0,7.9,75.7,1.4,4.3,17.3,17.3,11.1,47.558
Youssef Zalal,140000895,Featherweight,1996-09-04T00:00:00,70.0,145.0,72.0,10,5,0,0,3,0,8,0,0,0,0,4.0,72.3,3.7,1.9,0.0,0.0,25.3,28.12
Michel Pereira,140000357,Welterweight,1993-10-06T00:00:00,73.0,170.0,73.0,26,11,0,2,1,0,1,0,0,0,0,0.4,19.1,0.2,0.1,0.3,0.3,0.5,0.008000000000000002
Bryan Barberena,140000090,Welterweight,1989-05-03T00:00:00,72.0,170.0,72.5,15,8,0,0,12,3,3,2,0,0,0,8.0,74.9,0.3,0.6,16.1,16.1,10.7,1.44
Cameron Else,140001044,Bantamweight,1991-04-27T00:00:00,69.0,135.0,71.0,10,5,0,0,3,2,2,1,0,0,0,1.0,33.9,0.0,0.0,0.0,0.0,0.0,0.0
Herbert Burns,140000526,Featherweight,1988-02-02T00:00:00,69.0,149.0,73.0,11,3,0,0,2,2,11,0,0,0,0,3.0,81.3,8.2,4.9,12.6,12.6,0.0,120.53999999999999
Chase Hooper,140000820,Featherweight,1999-09-13T00:00:00,73.0,145.0,74.0,10,2,1,0,2,0,4,0,0,0,0,2.8,49.8,0.7,1.6,5.6,5.6,5.6,3.1359999999999997
Felicia Spencer,140000365,Women's Featherweight,1990-11-29T00:00:00,66.0,145.0,68.0,9,3,0,0,1,0,1,0,0,0,0,0.8,31.9,0.3,0.1,4.2,4.2,0.0,0.024
Marcin Prachnio,140000700,Light Heavyweight,1988-07-14T00:00:00,75.0,205.0,74.0,15,5,0,0,1,0,0,0,0,0,0,0.5,14.8,0.0,0.0,0.4,0.4,0.4,0.0
Jake Matthews,140000628,Welterweight,1994-08-19T00:00:00,71.0,169.0,73.0,17,5,0,0,8,2,14,6,0,0,0,6.1,77.6,3.9,1.2,0.0,0.0,32.4,28.548
John Dodson,140000115,Bantamweight,1984-09-26T00:00:00,63.0,135.0,66.0,22,12,0,0,8,0,1,0,1,1,0,2.2,36.5,0.5,0.0,12.2,12.2,8.0,0.0
Dwight Grant,140000112,Welterweight,1984-09-14T00:00:00,73.0,170.0,76.0,11,4,0,0,2,0,0,0,0,0,0,0.9,19.0,0.2,0.0,3.8,3.8,3.8,0.0
Thomas Almeida,140000667,Bantamweight,1991-07-31T00:00:00,67.0,136.0,70.0,22,5,0,0,28,8,10,0,3,0,0,12.7,70.8,0.4,0.0,24.0,24.0,9.7,0.0
Jacob Malkoun,140001045,Middleweight,1995-08-26T00:00:00,69.0,186.0,73.0,5,1,0,0,1,0,0,0,0,0,0,0.7,42.0,3.1,0.8,0.0,0.0,10.5,1.736
Austin Lingo,140000896,Featherweight,1994-07-10T00:00:00,70.0,145.0,70.0,9,1,0,0,4,0,3,0,0,0,0,5.3,51.2,0.9,0.0,0.0,0.0,23.0,0.0
Kevin Aguilar,140000230,Featherweight,1988-09-07T00:00:00,67.0,145.0,73.0,17,5,0,0,5,1,1,0,2,1,0,2.0,33.2,0.1,0.0,0.0,0.0,6.8,0.0
Drako Rodriguez,140001022,Bantamweight,1996-06-16T00:00:00,68.0,136.0,69.0,7,3,0,0,5,5,11,0,0,0,0,9.2,67.4,8.0,2.0,0.0,0.0,0.0,147.2
Sarah Alpar,140000545,Women's Bantamweight,1991-06-01T00:00:00,64.0,125.0,63.0,9,6,0,0,6,3,6,6,3,0,0,6.6,86.1,4.5,1.1,0.0,0.0,0.0,32.67
Jessin Ayari,140000868,Lightweight,1992-05-31T00:00:00,72.0,155.0,73.5,16,6,0,0,0,0,1,0,0,0,0,0.4,12.8,0.0,0.0,0.0,0.0,0.5,0.0
